AuthorID,Author,Date,Content,Attachments,Reactions
"596068704471482370","246tnt","2026-07-06T15:12:39.1820000+00:00","I think the `CO5.a` / `CO5.b` rules are not implemented correctly in KLayout DRC deck.","",""
"596068704471482370","246tnt","2026-07-06T15:13:36.4900000+00:00","I was checking for discrepency between Magic and KLayout where Magic reported no errors and a KLayout was reporting one, trying to spot things for @Tim Edwards to fix in the magic tech file but here I think the KLayout deck is wrong.","",""
"596068704471482370","246tnt","2026-07-06T15:15:41.9080000+00:00","","2026-07_media/2026-07-06_1246x941_scrot-DAF8C.png",""
"596068704471482370","246tnt","2026-07-06T15:16:56.3840000+00:00","This is an abutted tap and shows the `NPLUS` generated by magic. And the `NPLUS` does overlap the contact by 0.1um which is all that's needed. Yes, the `COMP` ends before `0.1um` but `CO5.b` doesn't require `COMP` to enclose the contact by 0.1um, only the `NPLUS`.","",""
"1365118310701600900","rtimothyedwards_19428","2026-07-06T16:06:59.8810000+00:00","I'm not sure what klayout flagged, but isn't the inside corner on the COMP an error?  Normally you don't want the COMP to make turns at a butting tap boundary, because then you get (as in the small length above the inside corner) NPLUS abutting COMP at zero distance, which violates one or more of the NP.3 rules (at least NP.3a).","",""
"596068704471482370","246tnt","2026-07-06T16:09:39.5290000+00:00","KLayout flagged the fact that comp only extends 0.07u on the left for instance.","",""
"596068704471482370","246tnt","2026-07-06T16:09:52.9660000+00:00","```
  co_5a_ncomp_butted = ncomp.interacting(pcomp).not_overlapping(pcomp)
  co_ncomp_check = contact.interacting(co_5a_ncomp_butted)

  co5a_l1 = co_ncomp_check.enclosed(co_5a_ncomp_butted, 0.1.um, euclidian)
  co5a_l1.output('CO.5a', 'CO.5a : Nplus overlap of contact on COMP (butted N+/P+) : 0.1µm')
```","",""
"596068704471482370","246tnt","2026-07-06T16:10:14.0920000+00:00","And instead I'd recommend :

```
  co5a_l1 = co_ncomp_check.enclosed(nplus, 0.1.um, euclidian)
```","",""
"169786952432746498","mithro_","2026-07-07T14:55:29.2410000+00:00","@Leo Moser (mole99)","",""
"323371864074485771","mole99","2026-07-07T15:13:29.4990000+00:00","Yes, we already talked :)
It can wait after the wsrun2 deadline. I'll take a look then.","",""
