AuthorID,Author,Date,Content,Attachments,Reactions
"691780627338625077","rebelmike","2026-07-14T13:23:37.5950000+00:00","","",""
"691780627338625077","rebelmike","2026-07-14T13:23:38.4310000+00:00","Awesome, thanks Leo - that makes the update nice and easy to apply 🙂","","❤️ (1)"
"262706220073222144","namibj","2026-07-14T14:02:12.8900000+00:00","Notably, the `buf_8` (and the identical in all ways that matter, `clkbuf_8`) had a gate finger (spanning both pmos and nmos) in place of what probably should have been a diffusion break; result was that the 3 active fingers on the input (depends on if high or low; the cell is electrically symmetric between nmos and pmos) fed a diode-connected finger of the 8 output fingers (they all share the same gate) and e.g. on input low resulted in about 2.7V (TT default temperature) across an nmos finger with a little over 300μA through that finger; a side effect should be that the actual output fingers don't properly turn their complement (in that condition, the pmos fingers) off at least on some PVT corners, which causes further but probably overall less significant power dissipation.

TL;DR: an accidentally placed gate in `buf_8` and `clkbuf_8` caused 1 mW static power consumption (and possibly somewhat impaired output logic levels, I'd particularly worry about reduced output-high levels).

Many chips would probably just ""melt"" from the power wastage.","",""
"1365118310701600900","rtimothyedwards_19428","2026-07-14T17:31:54.5480000+00:00","Fortunately on my SRAM test chip I went for a `buf_12`.  But I expect that my original SoC design on Run 1 is toast (or is a toaster).","","🍞 (1)"
"262706220073222144","namibj","2026-07-14T18:22:56.4880000+00:00","I'll try to simulate the old broken buffer behavior on very low supply voltage around next week or thereabouts; there's a chance it's operable at least if you don't have any deliberate power gating transistors in your design that would rely on sufficiently strong gate drive for sufficiently tame voltage drop.","",""
"1365118310701600900","rtimothyedwards_19428","2026-07-15T20:37:23.3110000+00:00","Well, I did a count of the `buff_8` on `gf180mcu_ocd_openframe` (my PicoRV32 test chip with all 3.3V components) and it uses `buff_8` 2,498 times, so that is potentially a lot of current.","",""
"1365118310701600900","rtimothyedwards_19428","2026-07-15T20:42:24.3540000+00:00","I assume that the buffer is _functional_ or else `lctime` would have produced garbage output in the .lib file for it.  The amount of current is going to be the issue.  I estimate somewhere between a half an amp and an amp total.","",""
"262706220073222144","namibj","2026-07-15T20:54:56.9530000+00:00","It does _buffer,_ on tt 3v3 default spice temperature it has an output high of like 2.71 V.","",""
"262706220073222144","namibj","2026-07-15T20:57:38.3700000+00:00","The pertinent question will be how the STA holds up as you drop voltage and clock.
Does it reach a point where it won't try to melt the die (2.5W is ""manageable"") and still doesn't experience hold violations?","",""
"262706220073222144","namibj","2026-07-15T20:58:57.6560000+00:00","(I'm thinking that maybe at like 1.2V or something the static power stops needing a heatsink and the chip can run at still like 1% nominal clock speed or such.)","",""
