AuthorID,Author,Date,Content,Attachments,Reactions
"323371864074485771","mole99","2025-12-01T08:02:53.8490000+00:00","Great! I'm running the precheck on the updated GDS now.

By the way, I just noticed that your sealring is still an earlier version (it's missing the glass cut on top). Please make sure to use the latest version of the PDK.

Don't worry about the PR for now, that can wait until after the tapeout.","",""
"323371864074485771","mole99","2025-12-01T10:16:42.1840000+00:00","The precheck also resulted in magic DRC errors on my end.
They are of type ""Can't overlap those layers"" and seem to relate to an overlap of COMP in two different cells.
The errors only occur inside the sram128x8, the other SRAMs are not affected.
Taking a closer look at the cells which belong to these COMP layers, sram128x8 is the only one that uses the `xdec16_*` cell.
The other SRAMs use a combination of `xdec8_*` and `xdec32_*`, which are part of `MAGIC_GDS_FLATGLOB`. 
It seems the flatglob for `xdec16_*` is missing. I added it to `MAGIC_GDS_FLATGLOB` and started another run 🤞","2025-12_media/Bildschirmfoto_vom_2025-12-01_11-04-25-0B04A.png",""
"323371864074485771","mole99","2025-12-01T10:35:05.4390000+00:00","`Precheck successfully completed.` That seemed to work 🥳","",""
"323371864074485771","mole99","2025-12-01T10:35:36.9800000+00:00","I'll push the fix to the template and precheck and then you can give it a try on your end as well.","",""
"709384666909507634","egorxe","2025-12-01T10:57:23.4150000+00:00","Thanks, Leo! 

> Please make sure to use the latest version of the PDK.

The latest version of the PDK or of the nix-eda?","",""
"323371864074485771","mole99","2025-12-01T11:03:52.7710000+00:00","You're welcome!

> The latest version of the PDK or of the nix-eda?

Both! After you update your template or precheck make sure to run `make clone-pdk` again.","",""
"709384666909507634","egorxe","2025-12-01T11:07:15.5390000+00:00","I think I'm running the [latest nix environment](https://github.com/ZeduloTech/gf180mcu-testchip2025/blob/acbd33fc43099d885758a78b2fdbfca26950c0f0/flake.nix#L12) and the latest PDK (from Nov 27). Is there a way to check that the correct sealring generation routine is launched?","",""
"323371864074485771","mole99","2025-12-01T11:09:25.2440000+00:00","You can visually check the corner of your sealring. Yours looks like this:","",""
"323371864074485771","mole99","2025-12-01T11:09:26.9590000+00:00","","2025-12_media/image-4656A.png",""
"323371864074485771","mole99","2025-12-01T11:09:46.3200000+00:00","But it should look like this:","",""
"323371864074485771","mole99","2025-12-01T11:09:47.5610000+00:00","","2025-12_media/image-4308A.png",""
"709384666909507634","egorxe","2025-12-01T11:18:53.4300000+00:00","Ok, thanks. I've checked my latest GDS and it has this corner structure on 37/0, so it seems that I've updated something meanwhile between the GDS in repo and the current one, but thanks for the warning. With sealring being fine now, I'm waiting for your precheck update :).","","👏 (1)"
"323371864074485771","mole99","2025-12-01T11:40:27.5730000+00:00","The precheck has been updated: https://github.com/wafer-space/gf180mcu-precheck/releases/tag/1.3.1
However, it will take more time until the online precheck uses this version as well :)","","👍 (1)"
