AuthorID,Author,Date,Content,Attachments,Reactions
"376976238528692225","nmz787","2026-09-02T15:31:39.2810000+00:00","I can get access to SEM","",""
"376976238528692225","nmz787","2026-09-02T15:32:01.1130000+00:00","not sure what your needs are though, to understand how involved helping on that front would be","",""
"376976238528692225","nmz787","2026-09-02T15:32:09.4830000+00:00","actually I can access FIB/SEM","",""
"509798510170865675","essen__","2026-09-02T15:36:54.2130000+00:00","Oh wow, lucky you. 
That would be totally overkill for doing the PCBs QA, but it might prove insepsensible down the line as a solution of last resort for diagnosing why the flex pcb's bonds are failing. Do you mind if I reach out to you again in the future if this ever happens ?","",""
"376976238528692225","nmz787","2026-09-02T15:42:46.3450000+00:00","Sure","","💙 (1)"
"262706220073222144","namibj","2026-09-04T15:27:48.1020000+00:00","Ehhh this is optical resolution tier, it's nominally 11μm thick copper....

Any absolute line width deltas from etching process control are on top anyways and can be swept together with the question of where the boundary is on an optical microscopy image.","",""
"262706220073222144","namibj","2026-09-04T15:29:53.7810000+00:00","You're getting a few of the `FC01` test dies from W.S. Run2 of you want to see how the bond pad and nearby passivated TopMetal traces are vertically/in cross section, if you can/want to?","",""
"376976238528692225","nmz787","2026-09-04T16:28:04.0200000+00:00","I think @Essen has the interest, i was just offering the FIB/SEM service, assuming it was relatively low effort (i.e. get a couple pictures)","",""
"262706220073222144","namibj","2026-09-04T16:44:03.1480000+00:00","I drew that GDS.

And I essentially told @Essen the bond layout and the overall structure of the particular idea of these flat flex boards.","",""
"376976238528692225","nmz787","2026-09-04T16:44:48.5060000+00:00","I actually didn't see the GDS","",""
"376976238528692225","nmz787","2026-09-04T16:45:19.6520000+00:00","I only jumped into the conversation after seeing Tim mention SEM","",""
"376976238528692225","nmz787","2026-09-04T16:45:29.9010000+00:00","I suppose I didn't read backstory enough","",""
"262706220073222144","namibj","2026-09-04T16:47:45.5370000+00:00","It's very simple","",""
"376976238528692225","nmz787","2026-09-04T16:49:21.7670000+00:00","So you're asking about alignment between layers under a pad?","",""
"262706220073222144","namibj","2026-09-04T16:51:52.8890000+00:00","","",""
"262706220073222144","namibj","2026-09-04T16:59:26.6810000+00:00","Pretty sure this has all the description.

Basically it's just top metal and pad openings and where needed slots for top metal. 
Metal5 = top metal","",""
"262706220073222144","namibj","2026-09-04T17:00:40.5840000+00:00","The big question is also how the vertical cross section is around a pad and notably I think also where there's a slot in top metal within pad area.","",""
"262706220073222144","namibj","2026-09-04T17:11:11.5770000+00:00","For metallization buildup to form electroless pillars or worst case use diodes against substrate to electroplate (though the classic way wouldn't work unless you use some kind of like photodiode current to clamp the pad-to-GND diode at zero volt despite current flowing into the pad and out of the substrate GND tap) a metal bump onto the pads so that the anisotropic conductive film can be squished by the pads and not squished by mere flat flex traces nearby the overlap passivated top metal, because I at least am not too confident the ACF's nickel spheres won't crash through the silicon nitride passivation.","",""
