AuthorID,Author,Date,Content,Attachments,Reactions
"509798510170865675","essen__","2026-08-07T19:15:58.3990000+00:00","","",""
"509798510170865675","essen__","2026-08-07T19:15:59.3560000+00:00","> I'm more worried about tented vias than fully open ones at least if they're thin enough for the epoxy to not just drip down; 
Not sure what you mean there, are you more worried about them being tented ? And if so, doesn't tented imply there is no dripping because the hole is closed ? 

Also, if you remember (I am still in the process of re-reading the entire thread), why where the via's tented only on one side in the first place ?","",""
"262706220073222144","namibj","2026-08-07T19:25:40.5890000+00:00","If they're tented that means there could be air enclosed beneath that could vapor going up rather than down.","",""
"262706220073222144","namibj","2026-08-07T19:26:03.0510000+00:00","The tented side didn't have an area of exposed ground plane","",""
"262706220073222144","namibj","2026-08-07T19:26:31.4690000+00:00","(The chip was placed on and surrounded by a golden shiny ground plane that was exposed.)","",""
"509798510170865675","essen__","2026-08-07T19:32:51.7850000+00:00","Perfect, I was supposed to read it that way, we are aligned in our understanding 👌","",""
"509798510170865675","essen__","2026-08-07T20:08:44.1450000+00:00","> For reliability IMO we should at least ask if they have a generic CTE-vaguely-matched loaded version available given that I don' think they'd require actually different processing beyond dosing the epoxy from the other dispenser.
Also not sure what you mean here. I follow up to CTE (Coefficient of thermal expansion) and I have a vague understanding of how that would impact our bond finger design, but you lost me at ""-vaguely-matched loaded version available given that I don' think they'd require actually different processing beyond dosing the epoxy from the other dispenser.""","",""
"509798510170865675","essen__","2026-08-07T20:09:07.6140000+00:00","> Might be contingent on the tracability serial being included, though; in case they fall down after globbing and are all mixed up between projects somehow.
We already have the qrcodes though.","",""
"509798510170865675","essen__","2026-08-07T20:11:57.2650000+00:00","Thermal management already looks pretty good (filled gnd plane), and apart from adding parts like heatsinks that would increase the BOM cost I don't think there is much to be done on that panel.","",""
"509798510170865675","essen__","2026-08-07T20:14:02.3850000+00:00","Thinking about it, I think the more effective approach for thermal management right now we be to add a fan to the pcb for chips for which that was a problem. 🤔","",""
"262706220073222144","namibj","2026-08-07T20:34:22.2080000+00:00","So normal glob tops are black","",""
"262706220073222144","namibj","2026-08-07T20:34:41.5660000+00:00","The Run1 ones were clear","",""
"262706220073222144","namibj","2026-08-07T20:35:50.7090000+00:00","They would not be visible under an opaque glob that is loaded with some substance that makes the composite (epoxy and whatever they load it with) behave closer to silicon than it would naturally due.","",""
"262706220073222144","namibj","2026-08-07T20:37:18.2280000+00:00","How does the heat get away from the die proper? I mean like thermal vias as a concept but also keeping an eye on thermal expansion flexing and stressing the die attachment.","",""
"509798510170865675","essen__","2026-08-07T20:52:29.8870000+00:00","That is actually great news in terms of permeability.","",""
"509798510170865675","essen__","2026-08-07T20:56:54.9070000+00:00","Valid point there. 
Frankly I have no idea how I could even simulate that for evaluation, so I will be reading up on the literature on that one and making a best effort. 
Else, my mini test program, renaming it to my ""torture test suite"" should include thermal cycling, though that would be logistically much more challenging than what I had planned.","",""
"509798510170865675","essen__","2026-08-07T20:58:14.1570000+00:00","Do you recall why we want that in the first place ?","",""
"262706220073222144","namibj","2026-08-07T20:59:36.2550000+00:00","probably the die attach wanted it and the gnd bond ring and then they felt like filling the space to the board-side pad ring with it as well and put the ground vias there","",""
"509798510170865675","essen__","2026-08-07T21:06:52.7150000+00:00","But why the through holes though ?","",""
"262706220073222144","namibj","2026-08-07T21:07:18.4190000+00:00","idk","","🫡 (1)"
"509798510170865675","essen__","2026-08-07T21:11:37.6040000+00:00","Thanks for everything, I will be looking at adding the thermal vias for sure once I absorb about 300 more pages of literature on the topic to make sure and not trip over a rock 100s have already tipped over.","",""
"262706220073222144","namibj","2026-08-07T21:25:08.4970000+00:00","well see I'm not sure that copper/holes is good for the balance of thermal resistance and CTE-match","",""
