AuthorID,Author,Date,Content,Attachments,Reactions
"476871702106603546","enited","2025-11-29T01:27:34.1010000+00:00","this error does not seem to be solvable. it does not even make sense. if you know the answer, I would appreciate it. It is a DRC error that comes from the cap. apparently it says the bottom plate should be wider than the top ones. and that is what is already there","2025-11_media/image-17B9D.png",""
"169786952432746498","mithro_","2025-11-29T01:31:13.1460000+00:00","@Leo Moser (mole99) / @Tim Edwards - Any idea?","",""
"733031319222878339","hateemx","2025-11-29T01:32:23.3680000+00:00","more context: that is the cap, between 5 and 6. just being instantiated results in that error","2025-11_media/image-3F8F6.png",""
"738396032295108721","bailey8889","2025-11-29T02:25:51.0230000+00:00","@Hateemx Here're the relevant rules from the klayout technology. Sorry if the explanation is too long.
```
  mimtm_virtual = fusetop.sized(1.06.um).and(topmin1_metal.interacting(fusetop))
...
  # Rule MIMTM.3: Minimum MiM bottom plate overlap of Top plate.
  logger.info('Executing rule MIMTM.3')
  mimtm3_l1 = fusetop.enclosed(mimtm_virtual, 0.6.um).polygons(0.001.um)
  mimtm3_l2 = fusetop.not_inside(mimtm_virtual)
  mimtm3_l = mimtm3_l1.join(mimtm3_l2)
  mimtm3_l.output('MIMTM.3', 'MIMTM.3 : Minimum MiM bottom plate overlap of Top plate.')
```
When `METAL_LEVEL = 5LM`, `top_min1_metal = metal4`

So `mimtm_virtual` is the intersection of `fusetop` layer grown by 1.06 and `metal4`.
The first part of the rule, `mimtm3_l1` checks that `metal4` encloses `fusetop` by 0.6um.
The second part of the rule `mimtm3_l2` checks for `fusetop` outside of `metal4`.

Note that this rule is checking `metal4` and `fusetop` not `metal4` and `metal5`.","",""
"733031319222878339","hateemx","2025-11-29T02:30:44.8260000+00:00","thanks, the cap is between 5 and 6. and the fusetop is enclosed by 0.6um. I even tried extending metal 5 even more, but no change","",""
"169786952432746498","mithro_","2025-11-29T03:21:22.0880000+00:00","@Hateemx - It's probably a good idea to commit your changes somewhere and share your GDS for other people to look at.","",""
"1365118310701600900","rtimothyedwards_19428","2025-11-29T03:26:03.5650000+00:00","The problem is that ""the cap is between 5 and 6"" but this process has only 5 metals.","",""
"738396032295108721","bailey8889","2025-11-29T03:26:55.6320000+00:00","@Hateemx When you say between 5 and 6, do you mean metal5 and metal6? Is this process `6LM` and not `5LM`?","",""
"733031319222878339","hateemx","2025-11-29T03:29:20.7120000+00:00","Yes metal 5 and 6. There is no metal 6 yes I thought it is the same as “top metal” but now I get it. I was just using the 2f0F cap and thought it corresponds to that","",""
"738396032295108721","bailey8889","2025-11-29T03:40:31.3360000+00:00","@Hateemx If it's a pcell, there might be an option to specify the lower and/or upper layer.","",""
"733031319222878339","hateemx","2025-11-29T04:17:01.5570000+00:00","The Pcell is called mimcap, without specifying capacitance densities. I can use lower metals but i am mot sure how the density works. So what if it is an M4/M5 cap?","","🤔 (1)"
"323371864074485771","mole99","2025-11-29T08:01:30.5700000+00:00","There's MIM option A and B:

- https://gf180mcu-pdk.readthedocs.io/en/latest/physical_verification/design_manual/drm_10_4_1.html
- https://gf180mcu-pdk.readthedocs.io/en/latest/physical_verification/design_manual/drm_10_4_2.html

Afaik this is the stack up we use: https://gf180mcu-pdk.readthedocs.io/en/latest/analog/layout/inter_specs/inter_specs_3_43.html

So the MIM cap should be on top of Metal4.","",""
"733031319222878339","hateemx","2025-11-29T15:43:09.4840000+00:00","Thanks everyone!","",""
