AuthorID,Author,Date,Content,Attachments,Reactions
"384390069412429834","polyfractal","2026-05-07T16:40:11.9560000+00:00","Section 9.3. details Circuit-Under-Pad rules (https://mithro-gf180mcu-pdk.readthedocs.io/en/latest/physical_verification/design_manual/drm_09_3.html), are these allowed to be used in designs? From prior discussions I know that WLCSP is not allowed because bumping applies to the whole wafer, but can we CUP rules on non-bumped wafers?

Context: I want to open up a bunch of vias in the passivation layer at a size/pitch that is smaller than the PAD rules (https://mithro-gf180mcu-pdk.readthedocs.io/en/latest/physical_verification/design_manual/drm_09_2.html), and allow active elements underneath or nearby. This is for @Tim 'mithro' Ansell's gate array / structured ASIC idea 🙂","",""
"323371864074485771","mole99","2026-05-07T17:16:25.4480000+00:00","There was a previous discussion about pad openings. I can't find it right now, but from what I can remember, we decided to set the minimum pad opening to 40um, as that is what is stated in the guidelines. @Tim 'mithro' Ansell?

As for CUP, we actually wanted to disable the CUP rules during submission (if possible), as this would simplify things slightly because a number of rules would not be applied. However, I don't yet know if we can simply disable/waive the CUP rules, or if they are automatically activated if you have devices under/near your pads.","",""
"384390069412429834","polyfractal","2026-05-07T17:47:15.8480000+00:00","hm I'm reading the DRC closer and now I've confused myself 😅 

So it looks like the PAD rules have a min 40um size and the whole opening in the passivation has to be top metal (with some top metal overlapping the passivation). But the CUP rules seem to allow wires passing through the opening.

Do you know if you can do something similar with PAD? I'd be fine with giant PAD openings as long as I dont need the top metal to fill the whole area. Was hoping for like 5um pitch between M5 lands that I connect myself

Edit: Hmm I see that the DRC says 40 for wedge/ball, but 4um for gold bump. Are the PAD rules entirely defined by the user project or something? I dont fully understand how to apply the DRC here since it differs based on end use?","",""
"384390069412429834","polyfractal","2026-05-07T18:13:04.5440000+00:00","I think I found the prior discussion about pad sizes etc: https://discord.com/channels/1361349522684510449/1486057912555012167/1486057912555012167","",""
"323371864074485771","mole99","2026-05-07T18:45:32.0950000+00:00","I feel the same way every time I read the docs 😄
The gf180mcu PDK is better quality than, say, the sky130 PDK, but the documentation leaves a lot to be desired...","","😁 (1)"
"323371864074485771","mole99","2026-05-07T18:45:38.4240000+00:00","It's possible that 40um is the minimum pad opening, but it could also be that a smaller opening is allowed. We only have the guideline and this note:

> These are just default numbers for DRC purpose only, however, these are VARIABLE and the customer is advised to use the appropriate value acceptable to their assembly house.

However, then you have rules for Gold bump with 4um, so physically smaller openings are possible.

Afaik, topmetal needs to cover the whole opening, at least that's the only actual rule: https://mithro-gf180mcu-pdk.readthedocs.io/en/latest/physical_verification/design_manual/drm_09_1.html","",""
"262706220073222144","namibj","2026-05-07T18:46:31.4460000+00:00","CUP is basically just about wedge bonding messing with FEOL structures I think due to strain-induced bandgap effecs, and bonding mechanics being a little different if you have certain structures under the pad which would necessitate tuning the bonding process parameter to account for that difference.","",""
"262706220073222144","namibj","2026-05-07T18:47:33.7740000+00:00","the DRC _rules_ are the ones in the codified DRC list about enclosures and critical dimensions and spacings and density","",""
"384390069412429834","polyfractal","2026-05-07T18:47:38.5950000+00:00","it really does feel like reading tea leaves sometimes 😂","","😂 (1)"
"262706220073222144","namibj","2026-05-07T18:47:52.2730000+00:00","the bond pads are mostly suggestions to be compatible with generic bond houses","",""
"323371864074485771","mole99","2026-05-07T18:49:26.0620000+00:00","Basically, our reticle is handled as a single project during submission, so we need to decide which wire bonding option to choose for the DRC. The more red lights go on during the submission process, the longer it will take to get it done. That's why Tim would like to make the DRC rules more restrictive, if doing so makes the submission process easier.

I'm not sure if ""Gold bump"" is a separate switch in the proprietary DRC deck and can be used alongside wedge type, for example. Maybe @Tim 'mithro' Ansell could find this out?","","👍 (1)"
