AuthorID,Author,Date,Content,Attachments,Reactions
"596068704471482370","246tnt","2025-12-04T21:02:38.1840000+00:00","Mmm, I'm having an antenna violations when connecting to the `SEL` signal of the `ocd` IO but I don't see how that would be possible.","",""
"596068704471482370","246tnt","2025-12-04T21:04:01.3380000+00:00","Violating rule is `ANT.16_i_ANT.3`","",""
"596068704471482370","246tnt","2025-12-04T21:05:03.0790000+00:00","But (1) the `Metal2` line that connects to that pin is really not that long, like 90 um or so. And (2) there is AFAICT an antenna diode on that input.","",""
"596068704471482370","246tnt","2025-12-04T21:14:00.2630000+00:00","The detail on the error is :
```
ametal_eff: 202.5162
ratio: 401.817857143
agate: 0.504
max_ratio: 400
pmetal_factor: 0.54
adiodes: (0)
diode_factors: (800)
pmetal: 375.03
```","",""
"596068704471482370","246tnt","2025-12-04T21:15:18.1320000+00:00","And indeed the gate area is 0.504.  But there is an 1 um x 1 um diode on the same node, so the effective area should be 0.504 + 2 * 1 = 2.504 and thus the ratio is 80 which is _way_ below the 400 threshold","",""
"596068704471482370","246tnt","2025-12-04T21:32:00.5150000+00:00","Ah ... the DRC rule only consider `nplus + COMP` to be diodes.","",""
"596068704471482370","246tnt","2025-12-04T21:32:08.0210000+00:00","But the IO have `pplus + COMP`","",""
"596068704471482370","246tnt","2025-12-04T21:44:22.0510000+00:00","Looking at the doc : 
""""""This comp area contained the protection diode and any other drain or source junction connected to this node.""""""

so `pplus + COMP` is perfectly valid and should be included in the `diodes` so I'm pretty sure that KLayout deck is wrong.","",""
"596068704471482370","246tnt","2025-12-04T21:44:37.8890000+00:00","(cc @Leo Moser (mole99) )","",""
"323371864074485771","mole99","2025-12-05T07:40:21.4730000+00:00","Thanks @tnt for the hint!

From the DRM:

> 1. Possible repairs to metal antenna nodes, which have a high via count or antenna ratio.
>   a. Add an NCOMP/Substrate diode for NMOS gate, PCOMP/Nwell diode for PMOS gate.
>   b. Break the metal close to the gate and jog the metal to an upper metal level.

So instead of:

```
diode      = nplus.and(comp)
```

I would do:

```
n_diode    = nplus.and(comp).not(nwell)
p_diode    = pplus.and(comp).and(nwell)
diodes     = n_diode || n_diode
```

(deep nwell not considered.)

Does that look reasonable to you?","",""
"596068704471482370","246tnt","2025-12-05T07:51:26.7180000+00:00","TBH I would think `comp.and(nplus.or(pplus)`  would be enough.","",""
"596068704471482370","246tnt","2025-12-05T07:52:04.5730000+00:00","Technically if a signal is connected to what's basically a tap, that's also a diffusion that will dissipate charge I would think.","",""
"596068704471482370","246tnt","2025-12-05T07:53:36.6660000+00:00","But it's a rather weird case so the above would work just fine.","",""
