AuthorID,Author,Date,Content,Attachments,Reactions
"839883081896689765","buck_042","2025-12-09T21:10:02.0400000+00:00","Hi, we have run the pre -check  https://github.com/wafer-space/gf180mcu-precheck for our filled gds. We don't have any DRC error in Klayout, but we have two types of Magic DRC errors. May I ask are those waviable? 
The MAGIC DRC errors are: **This layer can't abut or partially overlap between subcells** and  **p-ohmic spacing to NMOS gate < 0.33um (PP.4b + NP.4c)**
Any help will be appreciated, thanks!","2025-12_media/image-35EDA.png,2025-12_media/image-88398.png",""
"169786952432746498","mithro_","2025-12-10T02:00:49.4980000+00:00","@Tim Edwards / @Leo Moser (mole99) - Any idea?","",""
"1365118310701600900","rtimothyedwards_19428","2025-12-10T02:15:12.5600000+00:00","Not without a screenshot of the layout at the error coordinate.","",""
"1365118310701600900","rtimothyedwards_19428","2025-12-10T02:18:46.6650000+00:00","Many errors produced by magic are not really errors.
@Tim 'mithro' Ansell :  Is there any reason that you are running magic DRC checks?  If there aren't any errors that are not being checked by klayout, then I would think you would do best just to go with the klayout checks.  A number of magic checks are very specific to magic-produced layout (and therefore are often wrong or confusing when applied to layout that was not generated by magic).","",""
"169786952432746498","mithro_","2025-12-10T02:19:34.5150000+00:00","@Tim Edwards - I believe it is due to the current level of confidence in KLayout DRC deck being lower than we would like.","",""
"1365118310701600900","rtimothyedwards_19428","2025-12-10T02:21:25.0230000+00:00","I would tend to suggest doing what Efabless did and using the Magic checks as ""backup"", something to check for possible errors missed by klayout, but not as a cause for submission failure.","",""
"1365118310701600900","rtimothyedwards_19428","2025-12-10T02:44:39.4690000+00:00","`This layer can't abut or partially overlap between subcells` is usually a contact area, and very easy to have happen to layouts not created with magic that are read into magic.  The `p-ohmic spacing` error involves layers that magic generates automatically on output, so it doesn't see the actual layers (PPLUS and NPLUS) but infers an error from a combination of two rules and a measurement from COMP (p-tap) to COMP (nFET gate).  That one seems more like an actual error but with two layers which magic doesn't even see being involved, it could easily be a false positive.","",""
"839883081896689765","buck_042","2025-12-10T02:59:30.2880000+00:00","Thank you for all your reply, this is helpful! We will use virtuoso to help to debug","",""
"169786952432746498","mithro_","2025-12-10T03:02:41.7540000+00:00","@Buck - I think virtuoso isn't really going to help you here?","",""
"839883081896689765","buck_042","2025-12-10T03:06:00.5640000+00:00","I don't know. Should be not? We haven't tried, should/could we try? I guess the proprietary pdk and opensource pdk share the same layer map, so the gds can easily streamed into virtuoso.","",""
"169786952432746498","mithro_","2025-12-10T03:06:51.7030000+00:00","s/commercial PDK/proprietary PDK/ -- I don't have a virtuoso license so can't tell you anything about if that will work or not.","",""
"839883081896689765","buck_042","2025-12-10T03:11:08.7790000+00:00","Thank you! I have replaced the inappropriate word.","",""
"169786952432746498","mithro_","2025-12-10T12:31:05.4250000+00:00","@Leo Moser (mole99) - Thoughts?","",""
"323371864074485771","mole99","2025-12-10T12:48:05.7740000+00:00","I can set `ERROR_ON_MAGIC_DRC: False` for the precheck and the template. This way we run Magic DRC but do not end the flow with an exception.

We already have some false-positive CO errors in magic because some designs use the 9T stdcell library. So this might be the way forward?","",""
"169786952432746498","mithro_","2025-12-10T12:50:41.2230000+00:00","I'm generally of the opinion that things should be `-Werror`, I dislike it when things warn -- either it should be important enough I care about and thus an error or it isn't important and thus shouldn't be produced.","",""
"596068704471482370","246tnt","2025-12-10T12:51:27.0180000+00:00","Although I tend to agree that having both DRC is good, the reality is that the magic tech file is definitely a bit rough on the edges ATM.","",""
"323371864074485771","mole99","2025-12-10T12:55:08.6150000+00:00","Yes, and because of the way magic works, as Tim mentioned, false positives can easily show up (if you don't flatten the complete design, which I would not recommend).","",""
"1365118310701600900","rtimothyedwards_19428","2025-12-10T13:13:38.0160000+00:00","It's not so much that it's ""rough around the edges at the moment"" than that it's _always_ going to be rough around the edges because it works on a completely different database format than other tools, and things just don't match up 1:1 unless you force them to.  The choices then come down to (1) modify all library cells so that they do not show errors in magic.  I do this from time to time when the solution is innocuous enough---Such as the 9T standard cells Leo mentioned;  there's a false positive error flagged where moving one poly edge down by 5nm would prevent the error from showing, but it's one of those types of errors that is impossible to not show a false positive without completely overhauling the way magic handles the technology, which brings me to solution (2) which is to develop a magic technology file that is more 1:1 with the GDS.  It is possible to do this but obviously significant development work on a new technology file is required.","",""
"1365118310701600900","rtimothyedwards_19428","2025-12-10T13:19:11.3250000+00:00","In the end, I think that defeats the purpose of magic.  If you want magic to work and act like all the other layout tools, then you don't need magic, you just need to use the other layout tools.  Magic does certain things well;  I cannot see squat in virtuoso or klayout or any of the others---everything is a huge cluttered mess.  Magic presents layout simply and cleanly, and it is (mostly) obvious where everything is and what all the circuits are doing.  It is easy to find connectivity and see DRC errors as they are made.  But trying to pretend that it is going to work cleanly with layout made with other tools is a fool's errand.  I've written in a bunch of hacks that make it possible to deal with other tools' layouts but for the most part they are hacks and are never going to be anything but hacks.","","👍 (1)"
"839883081896689765","buck_042","2025-12-10T15:55:07.9130000+00:00","Yes we use some 9t tie high and tie low cells to configure the io cells. We will try use 7t to see what will happen.","",""
"323371864074485771","mole99","2025-12-10T16:01:55.1810000+00:00","Well, it's not a real error. The contact violations (CO) are false positives because magic checks the layout slightly differently.

Have you checked where the errors you mentioned above are located in your layout? You can load the markers in KLayout to see where they are.","",""
"839883081896689765","buck_042","2025-12-10T17:42:38.6360000+00:00","Sorry I don't know how to create the maker in klayout, but I have zoomed into the area to see the drc, it shows nothing?","2025-12_media/image-D051A.png,2025-12_media/5ac260151b3aa006106e0da98356f1d2-C21FC.png,2025-12_media/image-6F524.png",""
"1365118310701600900","rtimothyedwards_19428","2025-12-11T00:39:38.9740000+00:00","@Buck :  The ""layer can't abut"" error is clearly a contact thing;  possibly you have two contact cuts overlapping in different cells, which only works in magic if the contacts are isolated (i.e., exact overlap of both contact regions).  It looks like here that a contact below gets merged by magic into a ""contact area"" and then the two cuts can no longer be assured of being exactly overlapping (because magic will rewrite the cuts itself using its own algorithm).  The only way to avoid having magic complain about it is not to overlap contact cuts in different cells.

I can't tell much about the NPLUS/PPLUS spacing error from the screenshot;  I'd need a cleaner picture of just COMP, POLY, NPLUS, and PPLUS.  The fact that magic's error box is only 5nm high means that it measured the distance from gate to tap as 0.325um, or just barely too short.  It could even be the same type of error that Leo was referring to, where because magic is measuring from edges of layers that are not the layers directly involved in the rule, if it's a diagonal measurement, it could differ by just enough to be a nanometer or two short of the rule.","",""
"839883081896689765","buck_042","2025-12-11T00:49:14.2150000+00:00","Hi Tim, thank! For ""layrt can't abut"" seems like a false positive error? Because I just measre the size of the contact, whcih is exactly 0.22um * 0.22um (the contacts are exactly overlapping). For the second drc error, this is what only shows the poly and N/PPLUS area,","",""
"839883081896689765","buck_042","2025-12-11T00:50:36.4550000+00:00","","2025-12_media/image-22F85.png",""
"1365118310701600900","rtimothyedwards_19428","2025-12-11T00:51:19.0410000+00:00","@Buck :  It's a magic thing. . .  Contacts are drawn as ""contact areas"" (much like ""VIA"" statements in LEF or DEF) and magic automatically generates the cuts.  That makes the layout simpler and cleaner, and easier for magic to do extraction, DRC, etc.  The drawback is that it puts additional restrictions on the placement of contacts that don't exist for other tools.","","👍 (1),❤️ (1)"
"1420220240582676591","ruichenq","2025-12-11T00:57:18.1600000+00:00","@Tim Edwards Can we ignore these DRC violations reported by Magic? Since KLayout shows a clean DRC report, how can we determine whether the design has actually passed the pre-check?","",""
"1365118310701600900","rtimothyedwards_19428","2025-12-11T00:59:28.6880000+00:00","I would trust klayout.  I'm trying to determine if the PPLUS/NPLUS spacing error is real or not, but as usual the problem is trying to understand the garbled mess that is the rule documentation.  In all likelihood I implemented the spacing rule as I understood it, which may or may not be how it is actually implemented by GF.","","👍 (1)"
"1420220240582676591","ruichenq","2025-12-11T01:02:25.0740000+00:00","I see. Thanks for your help! We will use the KLayout report in the precheck as the sign-off DRC for this tapeout.","",""
"1365118310701600900","rtimothyedwards_19428","2025-12-11T01:13:10.0360000+00:00","Actually after re-reading the NP and PP rules again, I'm pretty sure the rule in magic is just bogus.  I think in one place I misinterpreted a spacing to NCOMP as a spacing to NPLUS;  consequently the rule is flagging an error at a distance of less than 0.33um when the actual minimum distance appears to be 0.32um.   The fact that it is off by only 10nm is why it hasn't come up before.","",""
"323371864074485771","mole99","2025-12-11T10:33:51.1180000+00:00","Hi @Buck if you open the layout in KLayout, you can load markers using Tools  -> Marker Browser.","",""
"323371864074485771","mole99","2025-12-11T10:34:04.8770000+00:00","","2025-12_media/Bildschirmfoto_vom_2025-12-11_11-31-41-F50FC.png,2025-12_media/Bildschirmfoto_vom_2025-12-11_11-32-47-D8E44.png",""
"323371864074485771","mole99","2025-12-11T10:35:35.4680000+00:00","You can find the marker files in `run/<timestamp>/11-magic-drc/reports/*.lyrdb` or `run/<timestamp>/13-klayout-drc/reports/*.lyrdb`.","","❤️ (1),👍 (2)"
