AuthorID,Author,Date,Content,Attachments,Reactions
"323371864074485771","mole99","2026-09-05T19:46:44.8460000+00:00","","",""
"323371864074485771","mole99","2026-09-05T19:46:46.2990000+00:00","Currently, the precheck makes no assumptions about the pads, except for checking that the pad masks exists at the right places.

I suppose the platform could provide a test plan for the default padring and the foundry pads, and allow to upload a custom test plan.

However, what format such a test plan should have, and which tests are available (e.g. shorts to other pads, measuring ESD diodes, etc.), would be for @Lauri to say.","",""
"756011607603019777","anfroholic","2026-09-05T19:48:50.6380000+00:00","This could be something maybe better to have on platform.wafer.space and they can opt in and put data if they care to. If not it will just be the standard.","",""
"169786952432746498","mithro_","2026-09-05T23:29:50.3290000+00:00","@Leo Moser (mole99) - For now I don't think we want to go the route of providing a test plan or anything. I was thinking that the precheck should enable checking what ever needs to be checked so that it means @Lauri's tester will work with his default testing setup.","",""
"908721221682733106","lauri4332","2026-09-06T07:18:32.2470000+00:00","It would be great if one day the platform could output design pad map, die renders and even bonding diagrams  😍","",""
"169786952432746498","mithro_","2026-09-07T09:10:58.4050000+00:00","@Lauri - I agree that is something we should probably make happen.","","👍 (1)"
"323371864074485771","mole99","2026-09-08T17:50:09.0700000+00:00","@Tim 'mithro' Ansell We can't assume much more than the pad openings. Everything else could be custom and thus needs to be specified by the user. 

@Lauri The precheck already generates a render of the design. The platform just needs to be updated to display it or allow it to be downloaded.","",""
"169786952432746498","mithro_","2026-09-09T01:25:54.8450000+00:00","@Leo Moser (mole99) - We can require whatever we want that makes our lives easier. If people want something different / custom they can always contract @stuart.","","👍 (1)"
"323371864074485771","mole99","2026-09-09T08:18:02.3030000+00:00","I was talking about the chip design: we don't know what's underneath the pad openings. People could swap out digital pads for analog ones, change power/ground pads or even make their own fully custom pads. Therefore, we would need to require the user to specify which tests (measure ESD diodes, short, open...) should be done.","",""
"169786952432746498","mithro_","2026-09-09T08:29:28.9280000+00:00","There is nothing stopping the precheck from enforcing certain items under the pads?  (Except maybe the code doesn't exist.)","",""
"908721221682733106","lauri4332","2026-09-09T15:32:48.4390000+00:00","I think I'm now set up to generate these documents for every die in reticle. My first instinct was to say that it would be good if the platform could generate these documents however, now I think best not to. Mainly because the time it takes from uploading the design to wirebonding is long and the pcb design may change multiple times in that time.","2026-09_media/WSLG_chip_top_10_2_1x1-8F3ED.pdf",""
"1184268085822238821","saladchap","2026-09-10T05:17:02.4230000+00:00","Nice pdf, I like that all three pages are in the same doc. Makes sense imo","",""
"1184268085822238821","saladchap","2026-09-10T05:18:27.2040000+00:00","I've also been thinking - re serial number placement and readability - would it make sense to shift the vias (for example the ones in the lower area) apart so we have enough room without vias for a serial number? Then we wouldn't necessarily need to plug them?","2026-09_media/image-4EC92.png",""
